Claim,Supporting result,Supporting file,Statistical unit,Evidence strength,Allowed manuscript wording,Required caveat,Prohibited overclaim
V2 improves trajectory performance,Official APE macro mean 1.635 m vs Fixed 3.299 m; internal V2 improves V1 on several sequence-level metrics,official_macro_summary.csv; CODEX_CONTEXT_DT_FIDELITY_POST_LOSO.md,physical sequence,moderate/strong,V2 improves official translation APE relative to the available Fixed Physics baseline and improves internal LOSO metrics relative to V1.,Fixed orientation/RPE mismatch; V1 official unavailable.,SOTA or universal odometry superiority.
local-vs-global fidelity distinction,parking02 has low RPE10 but high Dp/Dtheta and ATE,all_sequence_mechanism/mechanism_summary.md,physical sequence,strong,Short-horizon relative fidelity and long-horizon synchronization are distinct.,Do not make universal causal claim.,RPE alone proves twin fidelity.
parking01/parking02 failure mode,Both show low-local/high-global pattern; parking02 extreme,all_sequence_mechanism/mechanism_summary.md,physical sequence,strong,parking02 is an extreme point in a broader hard-sequence pattern.,Sequence-specific factors remain.,parking02 is solved or unique anecdote.
persistent yaw mismatch pathway,persistent yaw mismatch strongly associated with Iomega; Dtheta strongly associated with Dp,all_sequence_mechanism/mechanism_summary.md,physical sequence,moderate,Persistent yaw mismatch is a measurable failure pathway.,Direct Iomega->Dtheta association weak across all sequences.,Universal monotonic causal law.
condition-dependent fidelity,turning/wheel-IMU degrade RPE; acceleration/curvature degrade global metrics,condition_fidelity/condition_fidelity_summary.md,physical sequence,strong descriptive,Fidelity depends on operating condition.,Not every variable is strong/monotonic.,One scalar condition explains everything.
benign fidelity characterization,Componentwise p95 envelopes and condition distributions,benign_fidelity_characterization,physical sequence,moderate descriptive,Benign divergence can be characterized empirically.,"p95 is descriptive, not a detector threshold.",Exceeding p95 means attack/failure.
LOSO benign-envelope behavior,rate-domain generalizes better than global dimensions,loso_envelope_validation,physical sequence,strong descriptive,Envelope is partially stable; rate-domain components generalize better.,Global Dp/Dtheta sequence-sensitive.,Envelope is universal stable guarantee.
UGV01 asset instantiation,UGV01 staged instantiation artifacts and comparison figure,ugv01_asset_instantiation,asset run/condition,moderate,The framework can be instantiated on UGV01 under tested conditions.,Condition-limited; reference uncertainty matters.,Universal UGV01 performance.
official i2Nav benchmark,Verified public protocol; V2 official macro values,i2nav_official_benchmark,physical sequence,strong,Official benchmark layer validates trajectory performance under standardized alignment.,Separate from DT-fidelity layer.,Official APE replaces fidelity profile.
Fixed Physics comparison,V2 better APE translation 9/10; RPE50 10/10,official_method_comparison.csv,physical sequence,moderate,V2 improves translation APE relative to available fixed baseline.,Orientation/RPE likely frame mismatch.,Huge rotation/RPE gap is entirely model superiority.
official alignment vs operational synchronization,parking02 ATE 11.350 -> official APE 5.747,official_vs_internal_fidelity.csv,physical sequence,strong,Official alignment changes apparent long-horizon error magnitude.,Alignment is valid for benchmark; answers different question.,Official benchmark is wrong.
