destination,experiment,role,required,status,source,note
figures\e1_parking_full_grid_inversion.png,E1 i2Nav,CORE,True,copied,results\e1_e2_service_contract_publication\E1_i2nav\e1_parking_full_grid_inversion.png,Threshold-robust parking00 vs parking02 local/global service inversion.
figures\e1_metric_service_rank_alignment.png,E1 i2Nav,CORE,True,copied,results\e1_e2_service_contract_publication\E1_i2nav\e1_metric_service_rank_alignment.png,ATE/RPE rank alignment with different service-validity claims.
figures\E1_E2_cross_platform_position_contracts.png,E1/E2,CORE,True,copied,results\e1_e2_service_contract_publication\E1_E2_cross_platform_position_contracts.png,Unchanged service-contract evaluation across i2Nav and TerraSentia.
figures\cross_domain_horizon_profile.png,E3 cross-domain,CORE,True,copied,results\cross_domain_contract_generalization\figures\cross_domain_horizon_profile.png,"MAGNET, FreeTwinEV, and TU Wien SNG horizon-dependent contract validity."
figures\cross_domain_contract_heatmap.png,E3 cross-domain,CORE,True,copied,results\cross_domain_contract_generalization\figures\cross_domain_contract_heatmap.png,Cross-domain quantity x horizon x tolerance contract surface.
condition_dependent_fidelity.png,i2Nav condition analysis,SUPPORTING,False,not_found,,Condition-dependent fidelity characterization; not an online-monitor claim.
persistent_yaw_mechanism.png,i2Nav mechanism,SUPPORTING,False,not_found,,Persistent yaw-disagreement mechanism behind accumulated divergence.
figures\coverage_vs_sharpness.png,Conditioned envelope analysis,SUPPORTING,False,copied,results\conditioned_envelope_validation\coverage_vs_sharpness.png,Coverage/sharpness diagnostic; do not claim universal conditioned-envelope improvement.
figures\parking02_tfp_global_tail.png,i2Nav parking02,SUPPORTING,False,copied,results\publication_hardening\figures\parking02_tfp_global_tail.png,Illustrative local-good/global-bad physical-virtual divergence case.
magnet_horizon_component_counterexample.png,MAGNET,SUPPORTING,False,not_found,,Non-robot horizon-sensitive fidelity evidence.
ugv01_asset_instantiation.png,UGV01,SUPPORTING,False,not_found,,Physical asset-specific twin instantiation.
ugv01_condition_fidelity_profile.png,UGV01,SUPPORTING,False,not_found,,UGV01 condition-dependent fidelity profile.
figures\ugv01_local_vs_global_fidelity.png,UGV01,SUPPORTING,False,copied,results\ugv01_asset_instantiation\fidelity_protocol\ugv01_local_vs_global_fidelity.png,UGV01 local-versus-global fidelity illustration.
