method,dataset_sequences_used,evaluation_protocol,alignment_method,metric_definition,units,aggregate,comparability_status,reason,source
Twin V2,10,i2Nav-Robot / evaluate_odometry official APE table,SE3 no scale for local exports; i2Nav README benchmark protocol treated as official table,ARE deg / ATE m aggregate RMS from README; Twin V2 also preserves arithmetic macro means,"deg, m",sequence RMS for README-compatible comparison,DIRECTLY_COMPARABLE,Twin V2 uses wheel/odometry and IMU at runtime only; ground truth is used for training supervision and held-out evaluation. README-compatible RMS is sequence-RMS; macro mean is preserved separately.,local frozen official i2Nav benchmark outputs
Fixed Physics,10,i2Nav-Robot / evaluate_odometry official APE table,SE3 no scale for local exports; i2Nav README benchmark protocol treated as official table,ARE deg / ATE m aggregate RMS from README; Twin V2 also preserves arithmetic macro means,"deg, m",sequence RMS for README-compatible comparison,DIRECTLY_COMPARABLE,Fixed Physics is included as the local nonlearned baseline; rotation/RPE comparisons have a body-frame caveat.,local frozen official i2Nav benchmark outputs
VINS-Mono,10,i2Nav-Robot / evaluate_odometry official APE table,SE3 no scale for local exports; i2Nav README benchmark protocol treated as official table,ARE deg / ATE m aggregate RMS from README; Twin V2 also preserves arithmetic macro means,"deg, m",sequence RMS for README-compatible comparison,DIRECTLY_COMPARABLE,Official i2Nav-Robot README odometry benchmark table.,i2Nav-Robot README benchmark table
DM-VIO,10,invalid aggregate,SE3 no scale for local exports; i2Nav README benchmark protocol treated as official table,ARE deg / ATE m aggregate RMS from README; Twin V2 also preserves arithmetic macro means,"deg, m",sequence RMS for README-compatible comparison,NOT_COMPARABLE,i2Nav README aggregate row is Invalid.,i2Nav-Robot README benchmark table
OpenVINS (Stereo),10,i2Nav-Robot / evaluate_odometry official APE table,SE3 no scale for local exports; i2Nav README benchmark protocol treated as official table,ARE deg / ATE m aggregate RMS from README; Twin V2 also preserves arithmetic macro means,"deg, m",sequence RMS for README-compatible comparison,DIRECTLY_COMPARABLE,Official i2Nav-Robot README odometry benchmark table.,i2Nav-Robot README benchmark table
DLIO,10,i2Nav-Robot / evaluate_odometry official APE table,SE3 no scale for local exports; i2Nav README benchmark protocol treated as official table,ARE deg / ATE m aggregate RMS from README; Twin V2 also preserves arithmetic macro means,"deg, m",sequence RMS for README-compatible comparison,DIRECTLY_COMPARABLE,Official i2Nav-Robot README odometry benchmark table.,i2Nav-Robot README benchmark table
FF-LINS,10,i2Nav-Robot / evaluate_odometry official APE table,SE3 no scale for local exports; i2Nav README benchmark protocol treated as official table,ARE deg / ATE m aggregate RMS from README; Twin V2 also preserves arithmetic macro means,"deg, m",sequence RMS for README-compatible comparison,DIRECTLY_COMPARABLE,Official i2Nav-Robot README odometry benchmark table.,i2Nav-Robot README benchmark table
FAST-LIO2,10,i2Nav-Robot / evaluate_odometry official APE table,SE3 no scale for local exports; i2Nav README benchmark protocol treated as official table,ARE deg / ATE m aggregate RMS from README; Twin V2 also preserves arithmetic macro means,"deg, m",sequence RMS for README-compatible comparison,DIRECTLY_COMPARABLE,Official i2Nav-Robot README odometry benchmark table.,i2Nav-Robot README benchmark table
FAST-LIVO2,10,i2Nav-Robot / evaluate_odometry official APE table,SE3 no scale for local exports; i2Nav README benchmark protocol treated as official table,ARE deg / ATE m aggregate RMS from README; Twin V2 also preserves arithmetic macro means,"deg, m",sequence RMS for README-compatible comparison,DIRECTLY_COMPARABLE,Official i2Nav-Robot README odometry benchmark table.,i2Nav-Robot README benchmark table
LE-VINS,10,i2Nav-Robot / evaluate_odometry official APE table,SE3 no scale for local exports; i2Nav README benchmark protocol treated as official table,ARE deg / ATE m aggregate RMS from README; Twin V2 also preserves arithmetic macro means,"deg, m",sequence RMS for README-compatible comparison,DIRECTLY_COMPARABLE,Official i2Nav-Robot README odometry benchmark table.,i2Nav-Robot README benchmark table
R3LIVE,10,invalid aggregate,SE3 no scale for local exports; i2Nav README benchmark protocol treated as official table,ARE deg / ATE m aggregate RMS from README; Twin V2 also preserves arithmetic macro means,"deg, m",sequence RMS for README-compatible comparison,NOT_COMPARABLE,i2Nav README aggregate row is Invalid.,i2Nav-Robot README benchmark table
KF-GINS,8,i2Nav-Robot / evaluate_odometry official APE table,SE3 no scale for local exports; i2Nav README benchmark protocol treated as official table,ARE deg / ATE m aggregate RMS from README; Twin V2 also preserves arithmetic macro means,"deg, m",sequence RMS for README-compatible comparison,PARTIALLY_COMPARABLE,GNSS-based README table uses the subset where GNSS methods are listed.,i2Nav-Robot README benchmark table
OB-GINS,8,i2Nav-Robot / evaluate_odometry official APE table,SE3 no scale for local exports; i2Nav README benchmark protocol treated as official table,ARE deg / ATE m aggregate RMS from README; Twin V2 also preserves arithmetic macro means,"deg, m",sequence RMS for README-compatible comparison,PARTIALLY_COMPARABLE,GNSS-based README table uses the subset where GNSS methods are listed.,i2Nav-Robot README benchmark table
VINS-Fusion (Mono),8,i2Nav-Robot / evaluate_odometry official APE table,SE3 no scale for local exports; i2Nav README benchmark protocol treated as official table,ARE deg / ATE m aggregate RMS from README; Twin V2 also preserves arithmetic macro means,"deg, m",sequence RMS for README-compatible comparison,PARTIALLY_COMPARABLE,GNSS-based README table uses the subset where GNSS methods are listed.,i2Nav-Robot README benchmark table
IC-GVINS,8,i2Nav-Robot / evaluate_odometry official APE table,SE3 no scale for local exports; i2Nav README benchmark protocol treated as official table,ARE deg / ATE m aggregate RMS from README; Twin V2 also preserves arithmetic macro means,"deg, m",sequence RMS for README-compatible comparison,PARTIALLY_COMPARABLE,GNSS-based README table uses the subset where GNSS methods are listed.,i2Nav-Robot README benchmark table
